,title,description,genre,published_date,authors
56,moominsummer madness,when a flood sweeps through the valley the moomins must find a new house and with typical moomin good luck one just happens to be floating by it looks normal enough but there are curtains where one wall should be strange rows of lights and other odd amenities then moomintroll and the snork maiden disappear and the family realize that the house may hold the answers to more than they ever dreamed,fantasy,2010.0,tove jansson
57,comet in moominland,when moomintroll learns that a comet will be passing by he and his friend sniff travel to the observatory on the lonely mountains to consult the professors along the way they have many adventures but the greatest adventure of all awaits them when they learn that the comet is headed straight for their beloved moominvalley,fantasy,2010.0,tove jansson
58,rangers apprentice,on a mission to pay the ransom of a new ally apprentice will and his father find themselves in a desert wasteland awash with enemies,fantasy,2005.0,john anthony flanagan john f flanagan
59,that hideous strength,mark studdock joins an organization called nice which aims to control all human life his wife meanwhile has prophetic dreams about a decapitated scientist alcasan mark discovers the truth of the dreams when he meets the literal head of alcasan which is being kept alive by infusions of blood,fantasy,1946.0,clive staples lewis
60,finn family moomintroll,it is spring in the valley and the moomins are ready for adventure moomintroll and his friends snufkin and sniff find the hobgoblins top hat all shiny and new and just waiting to be taken home they soon realize that his is no ordinary hat it can turn anythingor anyoneinto something else,fantasy,2010.0,tove jansson
61,james and the giant peach,a young boy escapes from two wicked aunts and embarks on a series of adventures with six giant insects he meets inside a giant peach,fantasy,1973.0,roald dahl
62,where the wild things are,in the forty years since max first cried let the wild rumpus start maurice sendaks classic picture book has become one of the most highly acclaimed and bestloved childrens books of all time now in celebration of this special anniversary introduce a new generation to maxs imaginative journey to where the wild things are,fantasy,1988.0,
63,the horse and his boy,our hardcover and paperback digest editions of the chronicles of narnia are now graced with new jacket and cover art by 2time caldecott medalist david wiesner,fantasy,1970.0,clive staples lewis
64,the city of ember,in the year 241 twelveyearold lina trades jobs on assignment day to be a messenger to run to new places in her decaying but beloved city perhaps even to glimpse unknown regions,fantasy,2003.0,jeanne duprau
65,a winters promise,when ophelia who can travel through mirrors is betrothed to an influential member of a faraway clan she journeys to the towering city of citaceleste where she realizes she has become a pawn in a dangerous political game,fantasy,2018.0,christelle dabos
